word1	word2	anc1	anc2	fsg	bsg	con1	con2	nphon1	nphon2	easiness	index
timber	wood	4.71	6.953	0.41	0	5.67	5.81	5	3	6.265	65282
height	weight	6.219	7.681	0.371	0.102	3.85	4.35	3	3	6.254	30143
knife	fork	5.979	5.043	0.327	0.37	6.08	5.25	3	4	6.21	34855
crescent	moon	3.951	6.184	0.524	0	4.63	5.68	7	3	6.166	14982
pasture	cow	3.714	6.023	0.469	0.042	6.08	6.12	5	2	6.152	45155
gate	fence	6.382	5.533	0.353	0.094	5.69	5.85	3	4	6.146	26790
ear	hear	6.159	8.049	0.261	0.189	6.26	3.9	2	3	6.091	20310
molecule	atom	6.078	4.625	0.46	0.092	5.38	4.77	8	4	6.069	40365
airplane	fly	5.602	6.85	0.32	0.076	6.83	5.14	6	3	6.033	1415
rattle	snake	3.555	5.328	0.464	0.085	6.6	6.48	5	4	6.014	51047
baseball	bat	7.39	5.533	0.311	0.055	5.75	5.6	6	3	6.009	4520
zipper	pants	4.248	6.562	0.434	0.016	5.48	6.15	4	5	6.008	72110
debt	owe	6.978	5.288	0.46	0.162	4.12	2.92	3	1	5.99	16561
limb	arm	4.868	6.94	0.389	0.018	5.86	5.53	3	3	5.974	36422
skillet	pan	3.871	6.066	0.48	0.027	5.72	5.74	6	3	5.947	57743
hide	seek	6.045	6.731	0.385	0.101	5.45	3.71	3	3	5.922	30450
tools	hammer	6.744	5.22	0.382	0	5.33	5.77	4	4	5.903	65710
bath	shower	5.961	5.966	0.333	0.109	5.9	5.88	3	3	5.9	4649
raw	meat	6.372	6.629	0.336	0.013	3.84	6.93	2	3	5.871	51054
beef	meat	6.047	6.629	0.261	0.06	6.23	6.93	3	3	5.853	5053
lend	borrow	5.004	5.293	0.554	0.41	2.8	2.26	4	4	5.841	35966
spring	summer	7.171	8.187	0.239	0.051	5.12	4.68	5	4	5.805	60109
belly	stomach	4.99	5.935	0.4	0.021	6.04	6.04	4	6	5.794	5269
bass	fish	5.481	7.582	0.32	0.018	5.43	5.84	3	3	5.792	4613
soldier	army	5.649	7.311	0.287	0.027	5.68	6.53	5	4	5.741	58959
gentleman	lady	5.075	6.92	0.329	0.086	6.42	5.58	9	4	5.736	27015
vanilla	chocolate	5.17	6.594	0.359	0.115	5.38	5.72	6	6	5.71	68603
tobacco	cigarette	6.843	5.844	0.298	0.014	6.16	6.03	6	6	5.706	65453
cereal	breakfast	5.481	6.382	0.333	0.054	6.33	5.88	6	8	5.68	10017
