order	word1	word2	word1e	word2e	easiness
1102	jaw	skull	5.864	4.102	4.983
674	jail	trial	6.238	3.72	4.979
1062	carriage	horse	2.616	7.33	4.973
1908	loud	shout	5.053	4.889	4.971
1795	lily	rose	4.202	5.723	4.963
1804	whistle	blow	3.594	6.333	4.963
1878	sweat	heat	3.798	6.106	4.952
787	cue	music	1.955	7.925	4.94
1469	disease	cancer	4.595	5.283	4.939
1728	male	gender	7.071	2.806	4.939
1759	horn	whistle	6.275	3.594	4.935
555	bee	sting	6.293	3.569	4.931
1342	button	zipper	5.882	3.972	4.927
1359	lizard	snake	4.03	5.812	4.921
1444	spike	tack	5.958	3.884	4.921
917	hammer	axe	4.853	4.966	4.91
524	wander	walk	1.685	8.127	4.906
1655	column	newspaper	4.673	5.139	4.906
1847	office	secretary	6.494	3.31	4.902
912	cost	worth	6.382	3.413	4.898
722	ache	pain	3.239	6.536	4.888
1000	road	route	8.218	1.543	4.881
1723	veil	dress	1.86	7.891	4.875
695	scale	size	3.468	6.272	4.87
282	account	bank	2.83	6.897	4.864
127	guard	uniform	5.201	4.524	4.863
1473	soft	smooth	5.975	3.742	4.858
1827	aim	shoot	4.202	5.458	4.83
1654	stew	soup	3.592	6.03	4.811
1142	rear	front	3.25	6.365	4.807
1251	wide	range	4.862	4.73	4.796
1907	nickel	cent	3.805	5.783	4.794
780	jam	jelly	5.005	4.577	4.791
1741	mountain	valley	5.264	4.319	4.791
939	swallow	pill	3.884	5.688	4.786
920	singer	dancer	5.357	4.209	4.783
1747	football	soccer	5.388	4.172	4.78
827	napkin	stain	3.531	6.026	4.779
235	dirt	shovel	6.361	3.185	4.773
895	boss	customer	5.99	3.556	4.773
1228	steel	iron	4.297	5.249	4.773
702	blanket	quilt	5.696	3.842	4.769
1223	owl	crow	4.611	4.925	4.768
1680	base	military	6.73	2.788	4.759
1746	balloon	float	4.949	4.545	4.747
1939	wolf	howl	6.661	2.831	4.746
1152	swimming	shark	4.509	4.978	4.743
898	lane	highway	5.213	4.271	4.742
1567	waist	skirt	3.938	5.543	4.74
550	mouse	squeak	8.17	1.305	4.737
1056	hungry	eating	4.583	4.875	4.729
1840	hot	sunburn	8.631	0.826	4.728
847	scissors	knife	2.776	6.668	4.722
1817	salt	vinegar	6.888	2.544	4.716
459	cliff	mountain	4.166	5.264	4.715
444	tail	whisker	7.523	1.904	4.714
1585	busy	late	4.109	5.314	4.711
783	lawyer	judge	5.148	4.27	4.709
1788	cream	strawberry	6.027	3.39	4.709
906	deck	crew	4.887	4.509	4.698
1243	deep	dive	5.498	3.896	4.697
556	army	navy	5.621	3.748	4.684
813	plaza	city	1.663	7.701	4.682
464	journal	newspaper	4.222	5.139	4.681
1222	court	judge	5.091	4.27	4.68
832	quick	slow	3.969	5.387	4.678
452	coffee	doughnut	6.525	2.802	4.664
835	doorway	window	2.178	7.146	4.662
1123	carrot	cucumber	6.335	2.987	4.661
1053	oatmeal	cereal	3.673	5.606	4.64
46	wallet	pocket	3.517	5.76	4.638
798	gown	costume	3.97	5.29	4.63
1649	crab	shrimp	5.466	3.768	4.617
487	magnet	metal	3.42	5.807	4.614
1120	steam	coal	4.379	4.84	4.61
230	record	disc	6.471	2.743	4.607
1891	travel	holiday	4.854	4.357	4.606
1889	hound	bark	4.055	5.156	4.605
358	echo	voice	2.74	6.439	4.589
1683	tire	brake	5.281	3.896	4.589
494	princess	crown	5.057	4.089	4.573
934	quiet	peace	5.281	3.864	4.572
237	sauce	spicy	5.496	3.638	4.567
1371	spicy	sauce	3.638	5.496	4.567
39	send	deliver	5.781	3.344	4.563
600	hush	quiet	3.82	5.281	4.55
705	stadium	football	3.707	5.388	4.547
1232	weapon	missile	5.041	4.049	4.545
1471	blouse	skirt	3.546	5.543	4.544
1119	quilt	cloth	3.842	5.209	4.526
1452	fruit	ripe	7.314	1.727	4.52
1005	duck	quack	7.166	1.861	4.514
1679	belt	buckle	6.585	2.439	4.512
1901	sand	gravel	6.996	2.02	4.508
13	golf	tennis	5.282	3.732	4.507
678	church	religion	7.093	1.902	4.498
794	scar	wound	4.795	4.196	4.496
1227	chief	general	5.153	3.839	4.496
420	nowhere	place	1.533	7.453	4.493
471	silver	shiny	4.677	4.31	4.493
1764	salad	lettuce	5.283	3.696	4.49
937	scare	ghost	5.099	3.871	4.485
900	lens	camera	3.171	5.794	4.483
824	rush	late	3.634	5.314	4.474
1748	toad	frog	2.901	6.037	4.469
1027	tall	height	5.153	3.778	4.465
716	elephant	circus	4.581	4.344	4.462
1271	higher	increase	5.417	3.507	4.462
27	hide	flee	6.381	2.538	4.459
19	area	rural	6.15	2.744	4.447
1716	meat	butcher	7.125	1.766	4.446
1708	sleeve	vest	4.643	4.247	4.445
1846	rose	thorn	5.723	3.152	4.438
1843	stone	boulder	7.431	1.431	4.431
479	hurt	heal	6.247	2.612	4.429
1929	waste	garbage	4.229	4.629	4.429
1897	map	route	7.312	1.543	4.427
1739	dove	eagle	3.508	5.33	4.419
1563	dump	waste	4.603	4.229	4.416
1014	cloth	wool	5.209	3.606	4.408
1787	seed	pollen	6.976	1.826	4.401
1742	medal	prize	3.684	5.113	4.398
700	gulf	ocean	2.504	6.287	4.395
1007	tiger	leopard	6.878	1.904	4.391
1569	weight	load	4.842	3.924	4.383
37	beard	trim	4.785	3.976	4.38
825	deputy	chief	3.59	5.153	4.372
693	author	poet	5.042	3.695	4.368
1914	draw	sketch	7.192	1.524	4.358
258	article	author	3.665	5.042	4.353
486	hind	tail	1.17	7.523	4.347
1853	teacher	pupil	6.419	2.274	4.346
353	moth	insect	3.363	5.321	4.342
1835	city	neighborhood	7.701	0.973	4.337
1026	fang	tiger	1.785	6.878	4.332
694	tide	shore	4.148	4.513	4.33
1323	box	parcel	8.804	-0.156	4.324
1335	sofa	mattress	5.619	3.002	4.311
1838	bay	harbor	5.186	3.43	4.308
1794	cable	cord	3.568	5.041	4.305
1048	grade	math	4.157	4.447	4.302
502	mattress	pillow	3.002	5.59	4.296
1677	flag	banner	6.675	1.917	4.296
1254	fare	ticket	2.544	6.034	4.289
1004	jar	vase	5.984	2.584	4.284
559	party	invitation	7.455	1.089	4.272
1508	giver	gift	1.481	7.06	4.271
1879	officer	policeman	4.98	3.555	4.268
